iter	Passed	Remaining
0	47	4690
1	48	2381
2	49	1614
3	51	1228
4	52	997
5	53	841
6	54	730
7	56	648
8	57	582
9	58	529
10	60	486
11	61	451
12	62	420
13	64	393
14	65	369
15	66	349
16	67	330
17	68	313
18	70	298
19	71	285
20	72	272
21	73	261
22	75	251
23	77	243
24	78	235
25	79	227
26	81	219
27	82	211
28	83	204
29	85	198
30	86	191
31	87	185
32	88	180
33	89	174
34	91	169
35	92	164
36	97	165
37	99	161
38	101	158
39	102	154
40	104	149
41	105	145
42	106	141
43	108	137
44	109	134
45	111	130
46	112	126
47	113	123
48	115	119
49	116	116
50	117	113
51	119	110
52	120	107
53	122	104
54	124	101
55	125	98
56	127	95
57	128	93
58	130	90
59	131	87
60	133	85
61	134	82
62	135	79
63	137	77
64	138	74
65	140	72
66	141	69
67	142	67
68	144	64
69	145	62
70	146	60
71	148	57
72	149	55
73	151	53
74	152	50
75	153	48
76	155	46
77	156	44
78	158	42
79	159	39
80	160	37
81	162	35
82	163	33
83	164	31
84	165	29
85	167	27
86	168	25
87	169	23
88	170	21
89	172	19
90	173	17
91	174	15
92	176	13
93	177	11
94	178	9
95	179	7
96	181	5
97	182	3
98	183	1
99	185	0
